Player,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,,RUSHING,RECEIVING,MISC,,,,,
Malik Washington MIA,WR135,2.1,13.3,0.1,11.7,145.0,0.9,0.0,32.9
Ameer Abdullah LV,RB89,26.8,102.7,0.2,11.8,86.5,0.2,0.1,32.9
Cordarrelle Patterson PIT,RB90,26.8,120.9,0.9,7.9,60.1,0.2,0.1,32.7
Marquez Valdes-Scantling BUF,WR136,0.0,1.0,0.0,10.0,156.1,1.2,0.0,32.6
Foster Moreau NO,TE63,0.0,0.0,0.0,12.5,139.2,1.0,0.0,32.5
Ryan Flournoy DAL,WR137,0.0,0.0,0.0,12.0,141.2,1.1,0.0,32.5
Allen Lazard NYJ,WR138,0.0,0.7,0.0,11.2,146.6,1.1,0.1,32.4
Deuce Vaughn DAL,RB91,25.0,105.3,0.9,8.4,63.0,0.4,0.4,32.3
Jamari Thrash CLE,WR139,0.0,6.0,0.0,11.0,141.0,1.0,0.0,31.7
Jase McClellan ATL,RB92,32.9,133.9,1.0,5.5,43.9,0.4,0.0,31.7
Brenden Rice LAC,WR140,0.0,4.0,0.0,11.0,138.0,1.0,0.0,31.2
Mason Tipton NO,WR141,0.0,0.0,0.0,12.0,131.0,1.0,0.0,31.1
Jacob Cowing SF,WR142,0.0,6.0,0.0,11.0,134.0,1.0,0.0,31.0
Kendall Milton PHI,RB93,34.0,145.0,2.0,2.0,25.0,0.0,0.0,31.0
Will Mallory IND,TE64,0.0,0.0,0.0,12.3,131.1,0.9,0.0,30.9
Jack Stoll NYG,TE65,0.0,0.0,0.0,13.1,122.1,0.9,0.0,30.8
Pharaoh Brown SEA,TE66,0.0,0.0,0.0,12.0,132.0,0.9,0.0,30.7
Rasheen Ali BAL,RB94,26.4,149.0,1.2,4.6,35.9,0.1,0.0,30.5
Devin Culp TB,TE67,0.0,0.0,0.0,12.0,124.5,1.0,0.0,30.5
Chris Rodriguez Jr. WAS,RB95,14.4,119.9,0.9,7.1,50.5,0.2,0.1,30.4
Michael Carter ARI,RB96,25.9,113.9,0.8,8.3,54.2,0.1,0.1,30.4
Nyheim Hines CLE,RB97,22.9,71.3,0.5,10.8,80.9,0.2,0.1,30.4
Dallin Holker NO,TE68,0.0,0.0,0.0,12.0,123.5,1.0,0.0,30.4
Tanner McLachlan CIN,TE69,0.0,0.0,0.0,12.0,123.0,1.0,0.0,30.3
Tahj Washington MIA,WR143,0.0,0.0,0.0,11.0,131.0,1.0,0.0,30.1
Trey Knox MIN,TE70,0.0,0.0,0.0,12.0,119.0,1.0,0.0,29.9
Andrew Beck HOU,TE71,3.7,9.5,0.7,9.9,87.8,1.5,1.5,29.6
Casey Washington ATL,WR144,0.0,0.0,0.0,10.7,128.8,1.0,0.0,29.4
Peyton Hendershot DAL,TE72,0.0,0.0,0.0,11.6,117.4,1.0,0.0,29.4
Tejhaun Palmer ARI,WR145,0.0,0.0,0.0,11.0,122.0,1.0,0.0,29.2
Marcus Rosemy-Jacksaint WAS,WR146,0.0,6.0,0.0,10.0,126.0,1.0,0.0,29.2
Nikko Remigio KC,WR147,0.0,0.0,0.0,10.0,130.0,1.0,0.0,29.0
Jordan Whittington LAR,WR148,0.0,0.0,0.0,10.8,129.5,0.9,0.0,29.0
Ian Thomas CAR,TE73,0.0,0.0,0.0,12.6,128.8,0.6,0.0,28.8
AJ Barner SEA,TE74,0.0,0.0,0.0,11.6,118.8,0.9,0.0,28.8
Darnell Washington PIT,TE75,0.0,0.0,0.0,12.0,119.7,0.8,0.0,28.7
Ainias Smith PHI,WR149,0.0,3.0,0.0,10.4,128.3,0.9,0.0,28.7
Devaughn Vele DEN,WR150,0.0,0.0,0.0,10.0,123.0,1.0,0.0,28.3
Luke Schoonmaker DAL,TE76,0.0,0.0,0.0,10.8,111.0,1.1,0.0,28.3
Brayden Willis SF,TE77,0.0,0.0,0.0,10.0,121.0,1.0,0.0,28.1
Russell Gage BAL,WR151,0.0,3.0,0.0,10.0,114.0,1.0,0.0,27.7
Tyler Scott CHI,WR152,2.1,18.2,0.1,9.5,107.8,0.9,0.0,27.4
Travis Vokolek ARI,TE78,0.0,0.0,0.0,11.0,102.0,1.0,0.0,27.2
Johnny Wilson PHI,WR153,0.0,2.5,0.0,10.2,121.4,0.7,0.0,27.1
Irv Smith Jr. KC,TE79,0.0,0.0,0.0,10.8,102.5,1.0,0.0,26.9
Jawhar Jordan HOU,RB98,0.0,134.0,1.0,4.0,30.0,0.0,0.0,26.4
Derius Davis LAC,WR154,6.7,38.6,0.1,8.2,93.8,0.7,0.1,25.8
DeWayne McBride MIN,RB99,0.0,125.0,1.0,4.0,30.0,0.0,0.0,25.5
Erick All Jr. CIN,TE80,0.0,0.0,0.0,10.3,103.3,0.8,0.0,25.4
Stone Smartt LAC,TE81,0.0,0.0,0.0,9.5,108.8,0.8,0.0,25.3
Jordan Akins CLE,TE82,0.0,0.0,0.0,10.3,101.4,0.8,0.1,25.3
Jalen Brooks DAL,WR155,0.0,0.0,0.0,10.9,99.6,0.7,0.0,25.2
Cade Stover HOU,TE83,0.0,0.0,0.0,9.9,105.7,0.8,0.0,25.1
La'Michael Pettway NE,TE84,0.0,0.0,0.0,10.0,91.0,1.0,0.0,25.1
Brenton Strange JAC,TE85,0.0,0.0,0.0,9.7,92.0,1.0,0.0,24.9
Tip Reiman ARI,TE86,0.0,0.0,0.0,10.2,99.2,0.8,0.0,24.9
Donovan Peoples-Jones DET,WR156,0.0,1.3,0.0,8.8,120.1,0.7,0.0,24.9
Nick Westbrook-Ikhine TEN,WR157,0.0,1.3,0.0,8.9,118.6,0.7,0.1,24.8
Trent Sherfield Sr. MIN,WR158,0.0,1.3,0.0,9.3,114.7,0.7,0.0,24.7
Drew Sample CIN,TE87,0.0,0.0,0.0,10.5,94.2,0.8,0.0,24.5
D'Ernest Johnson JAC,RB100,31.7,113.6,0.5,5.5,39.2,0.1,0.1,24.4
Jared Wiley KC,TE88,0.0,0.0,0.0,9.6,98.5,0.8,0.0,24.2
Lucas Krull DEN,TE89,0.0,0.0,0.0,9.6,101.4,0.7,0.0,24.0
Skyy Moore KC,WR159,0.0,3.0,0.0,8.7,101.5,0.8,0.1,23.8
Blake Watson DEN,RB101,0.0,108.0,1.0,4.0,29.0,0.0,0.0,23.7
Jalen Guyton LV,WR160,6.0,25.0,0.2,7.0,96.8,0.6,0.1,23.5
Ronnie Rivers LAR,RB102,27.2,109.3,0.7,4.6,33.3,0.1,0.0,23.5
Jeremy McNichols WAS,RB103,14.1,56.8,0.0,8.0,65.1,0.5,0.0,23.4
Daijun Edwards PIT,RB104,31.0,132.0,1.0,2.0,21.0,0.0,0.0,23.3
Isaiah Hodgins NYG,WR161,0.0,2.0,0.0,8.7,108.9,0.6,0.0,23.3
Payne Durham TB,TE90,0.0,0.0,0.0,9.2,96.8,0.7,0.0,23.2
D.J. Montgomery IND,WR162,0.0,3.0,0.0,8.8,105.3,0.6,0.0,23.1
Teagan Quitoriano HOU,TE91,0.0,0.0,0.0,6.5,100.6,1.1,0.0,23.1
Cameron Latu SF,TE92,0.0,0.0,0.0,9.4,87.5,0.8,0.0,23.0
Isaiah Spiller LAC,RB105,30.7,99.8,0.7,4.8,30.1,0.1,0.0,22.8
Danny Gray SF,WR163,0.0,4.0,0.0,7.0,94.0,1.0,0.0,22.8
Craig Reynolds DET,RB106,21.6,102.5,0.8,4.1,33.4,0.1,0.1,22.7
Kevin Harris NE,RB107,6.0,99.8,0.8,4.6,33.8,0.0,0.0,22.7
Mecole Hardman Jr. KC,WR164,0.0,13.0,0.0,7.6,96.4,0.7,0.0,22.6
Hunter Luepke DAL,RB108,8.7,31.2,1.4,5.7,39.5,0.2,0.0,22.3
Dare Ogunbowale HOU,RB109,16.7,60.3,0.2,8.1,59.4,0.2,0.1,22.3
Allen Robinson II NYG,WR165,0.0,2.0,0.0,9.1,89.0,0.7,0.0,22.2
Xavier Hutchinson HOU,WR166,0.0,9.5,0.0,7.9,98.5,0.6,0.0,22.2
Drew Ogletree IND,TE93,0.0,0.0,0.0,7.9,101.4,0.7,0.0,22.1
Rakim Jarrett TB,WR167,0.0,5.0,0.0,7.8,97.3,0.6,0.0,21.6
Robbie Chosen SF,WR168,0.0,2.0,0.0,7.6,89.5,0.8,0.0,21.5
Isaiah McKenzie NYG,WR169,1.9,10.1,0.1,9.0,80.1,0.5,0.1,21.5
Trayveon Williams CIN,RB110,24.5,84.2,0.5,5.5,36.1,0.2,0.1,21.4
David Moore CAR,WR170,0.0,1.7,0.0,7.5,100.6,0.6,0.1,21.2
Robert Woods HOU,WR171,0.0,2.0,0.0,8.3,86.8,0.6,0.0,20.9
Quintin Morris BUF,TE94,0.0,0.0,0.0,7.0,75.0,1.1,0.0,20.9
Devin Duvernay JAC,WR172,3.3,16.9,0.1,8.1,82.5,0.4,0.1,20.8
Olamide Zaccheaus WAS,WR173,0.0,2.5,0.0,7.2,96.6,0.6,0.0,20.7
Anthony Gould IND,WR174,0.0,0.0,0.0,7.6,89.4,0.7,0.0,20.5
James Mitchell DET,TE95,0.0,0.0,0.0,8.0,83.3,0.7,0.0,20.4
Kenny McIntosh SEA,RB111,27.6,82.6,0.4,5.1,36.5,0.2,0.1,20.3
Ihmir Smith-Marsette CAR,WR175,2.1,18.1,0.1,8.6,67.1,0.4,0.0,20.2
Chris Moore ARI,WR176,0.0,5.0,0.0,7.1,88.0,0.6,0.0,19.9
MyCole Pruitt PIT,TE96,0.0,0.0,0.0,6.2,67.7,1.1,0.0,19.9
Braxton Berrios MIA,WR177,0.0,2.7,0.0,8.2,79.4,0.5,0.0,19.4
Nick Bawden HOU,RB112,5.4,17.5,2.1,2.5,21.0,0.1,0.0,19.3
Pierre Strong Jr. CLE,RB113,19.2,103.4,0.7,2.7,19.9,0.0,0.0,19.2
Miller Forristall LAR,TE97,0.0,0.0,0.0,7.5,78.5,0.6,0.0,19.2
Harrison Bryant LV,TE98,0.0,0.0,0.0,7.7,76.6,0.6,0.0,19.1
Eric Saubert SF,TE99,0.0,0.0,0.0,8.5,73.0,0.5,0.0,18.8
Grant Calcaterra PHI,TE100,0.0,0.0,0.0,7.4,76.8,0.6,0.0,18.8
Ben Sims GB,TE101,0.0,0.0,0.0,6.5,56.5,1.1,0.0,18.7
John Metchie III HOU,WR178,0.0,2.7,0.0,6.9,81.6,0.5,0.0,18.4
Nsimba Webster CHI,WR179,0.0,0.0,0.0,6.9,80.6,0.6,0.0,18.4
Ross Dwelley ATL,TE102,0.0,0.0,0.0,6.0,83.9,0.7,0.0,18.3
Julius Chestnut TEN,RB114,14.8,62.1,0.4,5.3,37.6,0.2,0.2,18.3
Luke Farrell JAC,TE103,0.0,0.0,0.0,7.4,74.9,0.6,0.0,18.2
Jeff Wilson Jr. MIA,RB115,15.6,86.5,0.7,3.0,21.7,0.1,0.0,18.2
John Bates WAS,TE104,0.0,0.0,0.0,8.1,77.0,0.4,0.0,18.2
Justyn Ross KC,WR180,0.0,0.0,0.0,6.1,77.1,0.7,0.0,18.0
Jason Brownlee NYJ,WR181,0.0,1.5,0.0,6.3,78.6,0.6,0.0,17.9
Tyquan Thornton NE,WR182,0.0,4.0,0.0,6.1,76.7,0.6,0.0,17.6
Emanuel Wilson GB,RB116,2.2,70.5,0.5,4.1,29.9,0.1,0.0,17.6
Armani Rogers PHI,TE105,0.0,0.0,0.0,6.5,76.6,0.6,0.0,17.6
Jordan Mims NO,RB117,0.0,68.0,1.0,3.0,18.0,0.0,0.0,17.6
Ronnie Bell SF,WR183,0.0,2.0,0.0,6.3,76.0,0.6,0.0,17.6
Kayshon Boutte NE,WR184,0.0,2.5,0.0,6.3,78.6,0.5,0.0,17.6
Sterling Shepard TB,WR185,0.0,0.0,0.0,7.0,71.4,0.5,0.1,17.3
Ashton Dulin IND,WR186,0.0,2.0,0.0,6.1,70.5,0.6,0.0,17.1
Deonte Harty BAL,WR187,0.0,5.0,0.0,5.9,72.2,0.6,0.0,17.1
Charlie Jones CIN,WR188,0.0,1.7,0.0,6.2,76.3,0.5,0.0,16.8
Nick Vannett TEN,TE106,0.0,0.0,0.0,6.3,69.9,0.6,0.0,16.8
Jaret Patterson LAC,RB118,16.7,71.0,0.4,4.0,27.5,0.1,0.1,16.7
KJ Hamler BUF,WR189,0.0,2.5,0.0,5.4,74.4,0.6,0.0,16.6
Laviska Shenault Jr. SEA,WR190,3.2,28.9,0.1,5.8,61.5,0.2,0.1,16.6
Emani Bailey KC,RB119,29.0,87.5,0.5,2.5,23.0,0.0,0.0,16.6
Lawrence Cager NYG,WR191,0.0,0.0,0.0,7.6,66.4,0.4,0.0,16.4
Tyler Goodson IND,RB120,2.4,61.4,0.5,4.0,28.7,0.1,0.0,16.4
Charlie Woerner ATL,TE107,0.0,0.0,0.0,8.1,63.1,0.3,0.0,16.4
Cole Turner WAS,TE108,0.0,0.0,0.0,6.0,68.9,0.6,0.0,16.4
Bo Melton GB,WR192,1.0,6.3,0.0,5.9,69.0,0.5,0.1,16.3
Kyle Philips TEN,WR193,0.0,0.5,0.0,6.6,78.0,0.3,0.0,16.3
Albert Okwuegbunam Jr. PHI,TE109,0.0,0.0,0.0,6.4,62.5,0.6,0.0,16.2
Joshua Kelley NYG,RB121,2.2,71.2,0.5,3.5,24.0,0.0,0.0,16.0
Cam Akers HOU,RB122,11.6,79.5,0.6,2.5,17.8,0.1,0.0,16.0
Carlos Washington Jr. ATL,RB123,0.0,37.0,1.0,4.0,22.0,0.0,0.0,15.9
Michael Woods II CLE,WR194,0.0,2.0,0.0,5.3,68.9,0.6,0.0,15.9
Ben Skowronek HOU,WR195,0.0,2.0,0.0,5.4,65.9,0.6,0.0,15.7
Zach Pascal ARI,WR196,0.0,2.0,0.0,5.2,67.5,0.6,0.0,15.7
Josiah Deguara JAC,TE110,0.0,0.0,0.0,7.1,60.9,0.4,0.0,15.7
Malik Heath GB,WR197,0.0,1.5,0.0,5.4,64.6,0.6,0.0,15.6
Chris Conley SF,WR198,0.0,2.0,0.0,5.3,65.0,0.6,0.0,15.5
Dee Eskridge SEA,WR199,4.3,15.4,0.1,5.3,64.9,0.3,0.0,15.5
Alec Ingold MIA,RB124,1.1,4.4,0.0,7.6,55.3,0.3,0.1,15.3
JaMycal Hasty NE,RB125,15.7,52.0,0.2,4.5,31.2,0.1,0.1,14.9
Hunter Long LAR,TE111,0.0,0.0,0.0,5.4,55.3,0.6,0.0,14.5
Cody Schrader SF,RB126,33.0,84.5,0.5,1.5,14.5,0.0,0.0,14.4
Tim Jones JAC,WR200,0.0,2.0,0.0,4.9,57.0,0.6,0.0,14.3
Scotty Miller PIT,WR201,0.0,1.3,0.0,5.6,69.5,0.3,0.0,14.2
Jalen Reagor NE,WR202,1.0,5.3,0.0,4.6,60.6,0.5,0.0,14.0
Ko Kieft TB,TE112,0.0,0.0,0.0,5.6,56.6,0.5,0.1,13.9
Giovanni Ricci CLE,TE113,2.4,10.0,0.0,5.7,50.6,0.4,0.1,13.7
Equanimeous St. Brown NO,WR203,0.0,2.0,0.0,4.3,56.7,0.6,0.0,13.7
Charlie Kolar BAL,TE114,0.0,0.0,0.0,5.4,58.9,0.4,0.0,13.7
Boston Scott LAR,RB127,2.3,54.3,0.6,2.5,19.2,0.1,0.0,13.7
Israel Abanikanda NYJ,RB128,17.2,63.6,0.3,2.7,18.9,0.1,0.1,13.5
Byron Pringle WAS,WR204,0.0,2.0,0.0,4.4,46.3,0.6,0.0,12.9
River Cracraft MIA,WR205,0.0,0.0,0.0,6.9,51.6,0.1,0.0,12.7
Raheem Blackshear CAR,RB129,6.1,35.8,0.2,4.5,33.5,0.0,0.0,12.4
Matt Breida SF,RB130,2.5,45.5,0.5,2.5,18.5,0.1,0.0,12.4
Keaontay Ingram KC,RB131,15.4,51.8,0.3,2.9,18.6,0.1,0.0,12.1
Dante Miller NYG,RB132,7.1,29.3,0.2,4.2,28.1,0.2,0.1,12.0
Tre'Quan Smith DET,WR206,0.0,0.0,0.0,6.4,49.2,0.1,0.0,11.9
Terrace Marshall Jr. CAR,WR207,0.0,2.0,0.0,4.9,61.1,0.1,0.0,11.9
Louis Rees-Zammit KC,RB133,10.9,45.3,0.4,2.2,15.3,0.1,0.1,10.8
Sean Tucker TB,RB134,10.0,38.8,0.2,2.8,20.5,0.1,0.0,10.4
Britain Covey PHI,WR208,0.0,0.0,0.0,4.4,48.4,0.2,0.0,10.3
Kene Nwangwu MIN,RB135,9.6,42.7,0.2,2.7,17.8,0.1,0.0,10.3
Chris Brooks MIA,RB136,6.9,29.4,0.2,3.2,21.9,0.2,0.1,10.2
Michael Burton DEN,RB137,5.1,20.7,0.1,4.0,26.4,0.2,0.1,10.2
John Stephens Jr. DAL,WR209,0.0,0.0,0.0,4.0,41.0,0.3,0.0,10.1
Josh Ali ATL,WR210,0.0,0.0,0.0,3.6,44.0,0.3,0.0,10.0
Tylan Wallace BAL,WR211,0.0,2.0,0.0,4.0,50.7,0.1,0.0,9.9
La'Mical Perine PIT,RB138,12.7,38.8,0.2,2.8,18.7,0.1,0.0,9.8
Racey McMath DAL,WR212,0.0,0.0,0.0,3.4,42.5,0.4,0.0,9.8
DeeJay Dallas ARI,RB139,5.3,30.3,0.1,3.7,24.5,0.0,0.0,9.7
Reggie Gilliam BUF,RB140,0.0,0.0,0.0,4.5,33.7,0.3,0.0,9.5
Avery Williams ATL,RB141,4.4,18.3,0.2,3.3,22.5,0.2,0.0,9.4
Tyler Johnson LAR,WR213,0.0,0.0,0.0,3.4,40.3,0.3,0.0,9.4
Kenny Yeboah NYJ,TE115,0.0,0.0,0.0,3.8,37.0,0.3,0.0,9.2
Myles Gaskin MIN,RB142,13.5,44.1,0.2,2.1,13.0,0.1,0.1,9.2
Darrynton Evans BUF,RB143,5.1,20.8,0.1,3.1,23.1,0.2,0.0,9.1
Travis Homer CHI,RB144,2.3,32.3,0.0,3.1,22.1,0.1,0.0,9.0
Tucker Fisk LAC,TE116,0.0,0.0,0.0,4.4,31.3,0.2,0.0,9.0
Dareke Young SEA,WR214,0.0,0.0,0.0,3.4,39.8,0.3,0.0,9.0
Easop Winston Jr. SEA,WR215,0.0,0.0,0.0,3.4,39.6,0.3,0.0,8.9
Martavis Bryant WAS,WR216,0.0,0.0,0.0,3.3,40.7,0.2,0.0,8.6
Denzel Mims JAC,WR217,0.0,0.0,0.0,3.4,39.9,0.2,0.0,8.6
Malik Davis DAL,RB145,2.3,32.1,0.0,2.6,19.5,0.1,0.0,8.3
Jacob Harris PHI,TE117,0.0,0.0,0.0,3.2,37.2,0.2,0.0,8.2
DJ Turner LV,WR218,0.0,0.0,0.0,3.3,37.5,0.2,0.1,8.1
Jaelon Darden CLE,WR219,0.0,0.0,0.0,3.2,37.2,0.2,0.0,8.1
Adam Prentice NO,RB146,3.3,14.0,0.1,3.3,23.1,0.1,0.0,8.1
Jha'Quan Jackson TEN,WR220,0.0,0.0,0.0,4.0,41.0,0.0,0.0,8.1
James Proche II CLE,WR221,0.0,0.0,0.0,3.2,37.0,0.2,0.0,8.0
Sione Vaki DET,RB147,12.7,39.6,0.2,1.5,9.7,0.0,0.0,7.9
Miles Boykin NYG,WR222,0.0,0.0,0.0,3.3,36.2,0.2,0.0,7.9
Phillip Dorsett II DEN,WR223,0.0,0.0,0.0,2.9,31.8,0.2,0.0,7.0
Keilan Robinson JAC,RB148,0.0,33.0,0.0,2.0,15.0,0.0,0.0,6.8
Damiere Byrd BUF,WR224,0.0,2.0,0.0,2.5,36.7,0.0,0.0,6.6
Trishton Jackson MIN,WR225,0.0,0.0,0.0,2.5,27.7,0.2,0.0,6.5
Gary Brightwell JAC,RB149,4.3,17.5,0.2,2.0,12.8,0.0,0.0,6.1
Patrick Ricard BAL,RB150,2.7,10.9,0.0,2.3,16.2,0.2,0.0,6.0
Mitchell Wilcox NE,TE118,0.0,0.0,0.0,3.4,24.3,0.0,0.0,6.0
Hassan Haskins TEN,RB151,2.3,27.6,0.0,1.9,12.4,0.0,0.0,6.0
Zonovan Knight DET,RB152,2.4,9.3,0.0,2.2,16.2,0.2,0.0,5.8
J.J. Taylor HOU,RB153,2.2,8.8,0.0,2.2,16.2,0.2,0.0,5.7
Jake Funk DET,RB154,2.4,9.4,0.0,2.1,16.1,0.2,0.0,5.7
Jermar Jefferson DET,RB155,2.4,9.5,0.0,2.1,15.9,0.2,0.0,5.7
Snoop Conner DAL,RB156,2.3,9.2,0.0,2.1,15.6,0.2,0.0,5.6
Elijah Dotson LAC,RB157,2.3,16.6,0.0,2.1,14.8,0.1,0.0,5.6
James Robinson NO,RB158,2.4,10.1,0.0,2.1,13.5,0.2,0.0,5.5
Khari Blasingame CHI,RB159,2.3,9.3,0.0,2.1,14.5,0.2,0.0,5.5
Spencer Brown ATL,RB160,4.7,18.8,0.0,2.0,13.8,0.0,0.0,5.4
Zach Evans LAR,RB161,2.3,20.6,0.0,1.5,12.1,0.1,0.0,5.3
N'Keal Harry MIN,WR226,0.0,0.0,0.0,2.0,22.3,0.2,0.0,5.3
Patrick Taylor Jr. SF,RB162,2.5,13.5,0.0,2.0,13.9,0.1,0.0,5.2
Andy Isabella BUF,WR227,0.0,0.0,0.0,1.8,23.5,0.2,0.0,5.2
Tre' McKitty BUF,TE119,0.0,0.0,0.0,2.1,20.8,0.2,0.0,5.2
Dalton Keene HOU,TE120,0.0,0.0,0.0,2.0,21.2,0.2,0.0,5.2
Velus Jones Jr. CHI,WR228,0.0,3.0,0.0,1.9,25.0,0.1,0.0,5.2
Jody Fortson Jr. MIA,TE121,0.0,0.0,0.0,2.1,19.7,0.2,0.0,5.1
Tyler Davis GB,TE122,0.0,0.0,0.0,2.0,19.9,0.2,0.0,5.1
Shane Zylstra DET,TE123,0.0,0.0,0.0,2.0,20.0,0.2,0.0,5.0
John Kelly Jr. BAL,RB163,2.4,9.9,0.0,2.0,13.8,0.1,0.0,5.0
Julian Hill MIA,TE124,0.0,0.0,0.0,2.1,19.2,0.2,0.0,5.0
Tommy Hudson NO,TE125,0.0,0.0,0.0,2.0,19.5,0.2,0.0,5.0
Tom Kennedy DET,WR229,0.0,0.0,0.0,1.7,22.2,0.2,0.0,4.9
Daurice Fountain DET,WR230,0.0,0.0,0.0,1.7,22.0,0.2,0.0,4.9
Maurice Alexander DET,WR231,0.0,0.0,0.0,1.7,22.0,0.2,0.0,4.9
Montrell Washington KC,WR232,0.0,0.0,0.0,1.8,21.2,0.2,0.0,4.9
Brady Russell SEA,TE126,0.0,0.0,0.0,2.0,19.0,0.2,0.0,4.9
Braylon Sanders MIA,WR233,0.0,0.0,0.0,1.8,20.2,0.2,0.0,4.9
Samori Toure GB,WR234,0.0,0.0,0.0,1.7,21.2,0.2,0.0,4.9
Erik Ezukanma MIA,WR235,0.0,0.0,0.0,1.8,20.1,0.2,0.0,4.8
Elijah Cooks JAC,WR236,0.0,0.0,0.0,1.8,19.7,0.2,0.0,4.8
Seth Williams JAC,WR237,0.0,0.0,0.0,1.8,19.9,0.2,0.0,4.8
Collin Johnson CHI,WR238,0.0,0.0,0.0,1.7,20.4,0.2,0.0,4.8
Simi Fehoko LAC,WR239,0.0,0.0,0.0,1.7,20.2,0.2,0.0,4.8
Anthony Schwartz MIA,WR240,0.0,0.0,0.0,1.7,20.0,0.2,0.0,4.7
Zack Kuntz NYJ,TE127,0.0,0.0,0.0,1.9,18.2,0.2,0.0,4.7
DeAndre Carter CHI,WR241,0.0,6.0,0.0,2.0,21.0,0.0,0.0,4.7
C.J. Ham MIN,RB164,2.2,8.6,0.0,2.1,15.4,0.0,0.0,4.7
Dax Milne LV,WR242,0.0,0.0,0.0,1.7,20.2,0.2,0.0,4.7
Stanley Morgan Jr. NO,WR243,0.0,0.0,0.0,1.7,19.7,0.2,0.0,4.7
Cody White SEA,WR244,0.0,0.0,0.0,1.7,19.5,0.2,0.0,4.7
Cephus Johnson III TB,WR245,0.0,0.0,0.0,1.7,19.6,0.2,0.0,4.7
Eric Tomlinson IND,TE128,0.0,0.0,0.0,1.8,17.7,0.2,0.0,4.6
Irvin Charles NYJ,WR246,0.0,0.0,0.0,1.7,19.1,0.2,0.0,4.6
Malik Taylor NYJ,WR247,0.0,0.0,0.0,1.7,19.1,0.2,0.0,4.6
Lance McCutcheon NYJ,WR248,0.0,0.0,0.0,1.7,18.9,0.2,0.0,4.6
Mason Kinsey TEN,WR249,0.0,0.0,0.0,1.5,19.3,0.2,0.0,4.5
Colton Dowell TEN,WR250,0.0,0.0,0.0,1.5,19.3,0.2,0.0,4.5
Cole Fotheringham LV,TE129,0.0,0.0,0.0,1.7,16.8,0.2,0.0,4.4
Tyrie Cleveland IND,WR251,0.0,0.0,0.0,1.5,18.4,0.2,0.0,4.4
Juwann Winfree IND,WR252,0.0,0.0,0.0,1.5,18.1,0.2,0.0,4.4
Zach Gentry LV,TE130,0.0,0.0,0.0,1.7,15.9,0.2,0.0,4.4
Nate Adkins DEN,TE131,0.0,0.0,0.0,1.8,15.8,0.2,0.0,4.3
Rodney Williams PIT,TE132,0.0,0.0,0.0,1.7,15.8,0.2,0.0,4.3
Chris Manhertz NYG,TE133,0.0,0.0,0.0,1.9,16.8,0.1,0.0,4.3
Kristian Wilkerson LV,WR253,0.0,0.0,0.0,1.5,17.5,0.2,0.0,4.3
Mike Strachan CAR,WR254,0.0,0.0,0.0,1.5,19.7,0.1,0.0,4.2
Jalen Virgil DEN,WR255,0.0,0.0,0.0,1.5,17.4,0.2,0.0,4.2
Dez Fitzpatrick PIT,WR256,0.0,0.0,0.0,1.5,16.6,0.2,0.0,4.1
Jakob Johnson NYG,RB165,2.2,8.8,0.0,2.0,12.2,0.0,0.0,4.1
Gunner Olszewski NYG,WR257,0.0,0.0,0.0,1.7,17.9,0.1,0.0,4.1
Andre Baccellia ARI,WR258,0.0,0.0,0.0,1.5,16.7,0.2,0.0,4.1
David Sills DEN,WR259,0.0,0.0,0.0,1.5,16.5,0.2,0.0,4.1
Kawaan Baker NE,WR260,0.0,0.0,0.0,1.5,19.4,0.1,0.0,3.9
Mike Boone CAR,RB166,0.0,0.0,0.0,2.0,14.0,0.0,0.0,3.4
Tyrion Davis-Price PHI,RB167,0.0,17.0,0.0,1.0,3.0,0.0,0.0,3.0
Quintez Cephus HOU,WR261,0.0,0.0,0.0,0.5,1.5,0.1,0.0,1.1
Anthony Firkser NYJ,TE134,0.0,0.0,0.0,0.2,2.2,0.0,0.0,0.5
