Player,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,,RUSHING,RECEIVING,MISC,,,,,
James Conner ARI,RB22,201.6,883.1,6.7,32.6,222.6,1.4,0.9,189.8
Najee Harris PIT,RB23,241.4,962.9,6.7,29.0,182.8,1.2,1.0,188.9
George Kittle SF,TE6,0.0,2.5,0.0,65.4,881.2,6.0,0.4,188.8
Evan Engram JAC,TE7,0.0,0.0,0.0,85.3,786.8,4.4,0.9,188.3
Kyle Pitts ATL,TE8,0.0,0.0,0.0,68.0,878.2,5.2,0.4,186.0
Jaylen Warren PIT,RB24,145.5,697.7,3.9,48.3,330.2,1.7,1.4,182.3
DeAndre Hopkins TEN,WR38,0.3,2.8,0.0,63.8,840.5,5.7,0.5,181.1
Jordan Addison MIN,WR39,0.3,4.0,0.0,64.2,828.3,5.7,0.5,180.5
D'Andre Swift CHI,RB25,178.3,810.4,5.2,36.1,248.5,1.6,1.0,180.5
Javonte Williams DEN,RB26,197.3,811.6,4.6,40.3,241.4,1.5,0.9,180.4
Raheem Mostert MIA,RB27,168.6,803.1,8.4,25.0,175.6,1.3,1.0,179.4
Jake Ferguson DAL,TE9,0.0,0.0,0.0,70.7,736.5,5.9,0.4,178.9
Courtland Sutton DEN,WR40,0.0,1.2,0.0,63.6,818.7,5.9,1.3,178.2
Jaxon Smith-Njigba SEA,WR41,0.0,2.0,0.0,70.6,774.2,5.2,0.6,178.2
Rome Odunze CHI,WR42,1.0,6.4,0.0,62.2,846.7,5.4,1.1,177.4
David Njoku CLE,TE10,0.0,0.0,0.0,69.9,772.3,5.4,1.2,177.3
Ladd McConkey LAC,WR43,1.1,6.7,0.0,65.9,821.9,5.0,1.1,176.9
Xavier Worthy KC,WR44,3.3,20.0,0.1,57.0,833.5,5.8,0.8,176.3
Tony Pollard TEN,RB28,190.2,821.2,5.6,33.9,233.9,0.8,0.9,176.3
Christian Watson GB,WR45,4.1,24.3,0.3,53.4,776.5,6.9,0.5,175.8
Tyler Lockett SEA,WR46,0.0,1.2,0.0,67.4,778.0,5.1,0.5,175.1
Brian Thomas Jr. JAC,WR47,0.7,6.0,0.0,63.2,831.3,5.0,1.1,174.8
Hollywood Brown KC,WR48,1.4,10.9,0.0,58.9,770.9,6.1,0.4,172.8
Jerry Jeudy CLE,WR49,0.3,5.3,0.0,62.0,850.6,4.3,0.6,172.2
Devin Singletary NYG,RB29,196.3,848.1,5.0,33.0,213.6,0.7,1.0,171.2
Brian Robinson Jr. WAS,RB30,184.6,774.1,5.3,28.8,243.8,1.8,1.5,170.3
Austin Ekeler WAS,RB31,124.1,516.6,4.1,46.4,371.5,2.0,1.7,168.7
Tyjae Spears TEN,RB32,142.8,623.9,3.6,43.3,337.2,1.5,0.9,168.4
Jakobi Meyers LV,WR50,2.4,15.6,0.3,64.8,731.0,4.6,0.5,167.9
Curtis Samuel BUF,WR51,11.4,66.7,1.0,61.1,664.5,4.6,0.5,166.8
Jameson Williams DET,WR52,4.5,42.0,0.7,53.8,758.7,4.7,0.6,165.4
Adam Thielen CAR,WR53,0.3,3.0,0.0,69.2,696.3,4.5,0.6,164.8
Khalil Shakir BUF,WR54,0.3,4.0,0.0,59.4,771.2,4.6,0.2,164.2
Joshua Palmer LAC,WR55,0.3,2.8,0.0,60.6,768.4,4.6,0.8,163.8
Zack Moss CIN,RB33,168.5,730.8,5.8,28.2,196.0,1.4,0.5,162.8
Chase Brown CIN,RB34,140.1,609.8,4.0,36.9,301.1,1.9,0.6,161.8
Brandin Cooks DAL,WR56,3.4,20.5,0.1,57.0,695.9,5.6,0.5,161.6
Mike Williams NYJ,WR57,2.3,9.2,0.0,56.2,752.8,4.8,0.5,160.6
Dallas Goedert PHI,TE11,0.0,0.0,0.0,66.0,699.8,4.1,0.5,159.6
Keon Coleman BUF,WR58,1.0,4.8,0.0,55.9,746.0,5.0,1.1,158.7
Brock Bowers LV,TE12,0.0,0.0,0.0,62.8,697.9,4.6,1.1,158.0
Romeo Doubs GB,WR59,0.0,1.5,0.0,55.9,687.6,5.6,0.5,157.4
Ezekiel Elliott DAL,RB35,172.7,670.9,5.7,29.8,197.9,1.3,1.0,157.2
DeMario Douglas NE,WR60,8.4,44.3,0.1,60.7,734.2,3.2,0.9,156.6
Gabe Davis JAC,WR61,0.3,1.3,0.0,49.6,733.3,5.4,0.9,153.8
Rashid Shaheed NO,WR62,4.3,33.2,0.0,50.3,728.6,4.2,0.9,150.0
Gus Edwards LAC,RB36,186.0,794.5,7.1,15.2,131.9,0.4,1.3,149.8
Darnell Mooney ATL,WR63,2.1,11.9,0.1,51.1,709.9,4.1,0.2,148.2
Dalton Schultz HOU,TE13,0.0,0.0,0.0,57.3,610.7,4.9,0.8,146.1
Ja'Lynn Polk NE,WR64,0.7,5.8,0.0,57.1,699.7,3.2,0.8,145.1
Nick Chubb CLE,RB37,160.1,766.2,5.4,18.5,146.5,0.6,0.9,144.2
Pat Freiermuth PIT,TE14,0.0,0.0,0.0,58.2,606.2,4.4,0.5,144.2
Jonathon Brooks CAR,RB38,161.3,702.5,4.6,23.7,182.4,0.9,1.6,142.2
Jerome Ford CLE,RB39,147.8,580.6,3.6,30.6,218.2,1.8,0.8,141.6
Josh Downs IND,WR65,0.0,5.3,0.0,56.0,639.5,3.3,0.5,139.5
T.J. Hockenson MIN,TE15,0.0,0.0,0.0,59.7,596.0,3.3,0.8,137.6
Wan'Dale Robinson NYG,WR66,8.1,58.1,0.5,58.7,550.3,2.7,0.5,137.4
Adonai Mitchell IND,WR67,0.7,4.8,0.0,48.2,653.2,3.7,0.8,134.8
Michael Wilson ARI,WR68,0.0,1.3,0.0,49.0,641.3,3.7,0.2,134.7
Dontayvion Wicks GB,WR69,0.3,3.8,0.0,45.7,610.3,4.7,0.5,134.5
Cole Kmet CHI,TE16,0.0,0.0,0.0,54.5,538.2,4.3,0.5,133.2
Demarcus Robinson LAR,WR70,0.3,7.8,0.0,46.2,592.4,4.4,0.6,131.5
J.K. Dobbins LAC,RB40,134.0,565.7,3.9,23.9,180.4,1.5,0.9,129.0
Antonio Gibson NE,RB41,116.2,443.3,2.3,37.7,283.7,1.2,1.4,128.8
Tyler Conklin NYJ,TE17,0.0,0.0,0.0,54.0,538.9,3.4,0.1,127.9
Rashod Bateman BAL,WR71,0.3,4.5,0.0,46.1,605.0,3.5,0.2,127.7
Zach Charbonnet SEA,RB42,115.3,498.9,3.0,32.8,222.4,0.8,0.8,126.4
Kendrick Bourne NE,WR72,2.3,15.8,0.0,47.2,571.9,3.6,0.5,126.3
Jahan Dotson WAS,WR73,0.0,2.5,0.0,46.3,568.1,3.9,0.5,125.6
Xavier Legette CAR,WR74,2.8,17.3,0.1,46.0,597.7,3.1,0.4,125.4
Rico Dowdle DAL,RB43,145.0,551.4,3.7,22.4,173.4,1.3,0.4,123.7
Ty Chandler MIN,RB44,145.5,595.1,4.3,20.7,151.9,0.6,0.8,123.5
Chuba Hubbard CAR,RB45,139.9,563.1,3.6,25.6,177.1,0.5,0.9,122.7
Tyler Allgeier ATL,RB46,134.8,556.4,3.9,21.3,169.9,1.2,0.8,122.7
Hunter Henry NE,TE18,0.0,0.0,0.0,47.6,492.6,4.2,0.1,122.0
Cade Otton TB,TE19,0.0,0.0,0.0,49.2,490.0,3.7,0.4,119.8
DJ Chark Jr. LAC,WR75,0.0,1.8,0.0,37.8,542.0,4.6,0.5,118.9
Marvin Mims Jr. DEN,WR76,3.9,22.5,0.1,42.5,551.2,2.8,0.3,116.5
Blake Corum LAR,RB47,130.6,548.5,4.2,19.5,151.7,0.7,1.5,116.2
Luke Musgrave GB,TE20,0.0,0.0,0.0,46.7,489.7,3.4,0.1,115.9
Chigoziem Okonkwo TEN,TE21,0.0,2.0,0.0,48.2,513.3,2.7,0.4,114.9
Darius Slayton NYG,WR77,0.0,1.3,0.0,39.7,569.5,3.0,0.1,114.7
Quentin Johnston LAC,WR78,1.7,6.8,0.0,41.8,524.0,3.3,0.2,114.6
Malachi Corley NYJ,WR79,4.4,29.9,0.2,42.6,482.4,3.3,0.1,114.1
Jaleel McLaughlin DEN,RB48,97.5,470.4,2.6,28.3,183.1,1.0,0.8,113.5
Trey Benson ARI,RB49,130.8,567.1,3.9,17.9,131.2,0.8,1.5,112.8
Tim Patrick DEN,WR80,0.0,2.3,0.0,39.0,503.2,3.7,0.1,111.6
