Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,RUSHING,RECEIVING,MISC,,,,,
AJ Dillon GB,64.0,261.2,2.0,10.5,90.0,0.1,0.4,57.5
Kimani Vidal LAC,44.1,239.0,1.6,12.7,89.0,0.3,0.1,56.7
Chase Edmonds TB,55.5,199.4,1.2,13.7,95.4,0.2,0.1,51.1
Emari Demercado ARI,31.9,141.6,1.1,16.2,107.1,0.4,0.5,49.5
Audric Estime DEN,56.6,238.5,1.6,8.7,63.9,0.4,1.1,48.6
Eric Gray NYG,39.6,207.1,1.4,10.8,73.8,0.2,0.1,48.5
Will Shipley PHI,36.3,191.2,1.6,7.4,55.6,0.4,0.1,43.9
Ty Johnson BUF,27.1,129.9,0.9,11.1,93.3,0.6,0.2,41.8
Dylan Laube LV,26.4,158.0,1.1,10.5,75.4,0.2,0.1,41.5
Trey Sermon IND,44.4,228.5,1.2,6.5,44.5,0.1,0.1,41.5
Evan Hull IND,34.5,155.4,1.0,9.0,64.3,0.5,0.1,39.8
Isaiah Davis NYJ,65.3,192.8,1.4,6.5,46.9,0.2,0.1,39.6
Deneric Prince KC,22.5,182.4,1.3,7.2,53.3,0.1,0.0,39.0
Kyle Juszczyk SF,5.6,20.2,0.1,14.2,136.7,1.1,0.0,37.0
Royce Freeman DAL,56.5,169.9,1.4,5.9,40.0,0.2,0.1,35.9
Jordan Mason SF,33.1,182.9,1.6,4.2,29.0,0.1,0.0,35.1
Isaac Guerendo SF,29.9,167.3,1.3,5.2,43.0,0.1,0.0,34.4
Ameer Abdullah LV,26.8,102.7,0.2,11.8,86.5,0.2,0.1,32.9
Cordarrelle Patterson PIT,26.8,120.9,0.9,7.9,60.1,0.2,0.1,32.7
Deuce Vaughn DAL,25.0,105.3,0.9,8.4,63.0,0.4,0.4,32.3
Jase McClellan ATL,32.9,133.9,1.0,5.5,43.9,0.4,0.0,31.7
Kendall Milton PHI,34.0,145.0,2.0,2.0,25.0,0.0,0.0,31.0
Rasheen Ali BAL,26.4,149.0,1.2,4.6,35.9,0.1,0.0,30.5
Chris Rodriguez Jr. WAS,14.4,119.9,0.9,7.1,50.5,0.2,0.1,30.4
Michael Carter ARI,25.9,113.9,0.8,8.3,54.2,0.1,0.1,30.4
Nyheim Hines CLE,22.9,71.3,0.5,10.8,80.9,0.2,0.1,30.4
Andrew Beck HOU,3.7,9.5,0.7,9.9,87.8,1.5,1.5,29.6
Jawhar Jordan HOU,0.0,134.0,1.0,4.0,30.0,0.0,0.0,26.4
DeWayne McBride MIN,0.0,125.0,1.0,4.0,30.0,0.0,0.0,25.5
D'Ernest Johnson JAC,31.7,113.6,0.5,5.5,39.2,0.1,0.1,24.4
Blake Watson DEN,0.0,108.0,1.0,4.0,29.0,0.0,0.0,23.7
Ronnie Rivers LAR,27.2,109.3,0.7,4.6,33.3,0.1,0.0,23.5
Jeremy McNichols WAS,14.1,56.8,0.0,8.0,65.1,0.5,0.0,23.4
Daijun Edwards PIT,31.0,132.0,1.0,2.0,21.0,0.0,0.0,23.3
