Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
,RECEIVING,RUSHING,MISC,,,,,
Rashod Bateman BAL,46.1,605.0,3.5,0.3,4.5,0.0,0.2,127.7
Kendrick Bourne NE,47.2,571.9,3.6,2.3,15.8,0.0,0.5,126.3
Jahan Dotson WAS,46.3,568.1,3.9,0.0,2.5,0.0,0.5,125.6
Xavier Legette CAR,46.0,597.7,3.1,2.8,17.3,0.1,0.4,125.4
DJ Chark Jr. LAC,37.8,542.0,4.6,0.0,1.8,0.0,0.5,118.9
Marvin Mims Jr. DEN,42.5,551.2,2.8,3.9,22.5,0.1,0.3,116.5
Darius Slayton NYG,39.7,569.5,3.0,0.0,1.3,0.0,0.1,114.7
Quentin Johnston LAC,41.8,524.0,3.3,1.7,6.8,0.0,0.2,114.6
Malachi Corley NYJ,42.6,482.4,3.3,4.4,29.9,0.2,0.1,114.1
Tim Patrick DEN,39.0,503.2,3.7,0.0,2.3,0.0,0.1,111.6
Tyler Boyd TEN,46.3,500.9,2.4,1.3,7.6,0.0,0.5,110.9
Jalen McMillan TB,42.2,502.9,3.2,0.7,7.5,0.0,0.7,110.7
Jermaine Burton CIN,39.9,507.0,3.3,0.7,4.3,0.0,0.8,109.4
Odell Beckham Jr. MIA,37.4,509.6,3.4,0.0,2.3,0.0,0.4,108.4
Ricky Pearsall SF,37.6,485.1,3.5,2.2,14.5,0.1,0.7,107.6
Roman Wilson PIT,38.2,496.2,2.9,0.7,10.0,0.0,0.4,105.4
Jalin Hyatt NYG,39.6,501.8,2.4,0.0,1.0,0.0,0.3,103.4
Jalen Tolbert DAL,36.9,457.1,3.0,0.0,2.3,0.0,0.2,100.2
Luke McCaffrey WAS,38.5,447.9,2.3,2.0,15.7,0.1,0.1,98.7
Troy Franklin DEN,36.2,458.3,2.7,1.0,4.7,0.0,0.7,97.4
Elijah Moore CLE,37.1,426.6,2.5,4.4,14.7,0.0,0.4,95.4
Zay Jones ARI,38.1,403.8,2.7,0.3,3.0,0.0,0.5,93.9
Greg Dortch ARI,38.0,387.7,2.4,3.2,21.2,0.1,0.1,93.3
Ray-Ray McCloud III ATL,34.0,349.8,2.6,6.9,46.5,0.2,0.2,90.3
Andrei Iosivas CIN,32.4,377.7,2.9,0.0,3.3,0.0,0.2,87.6
Josh Reynolds DEN,31.2,405.0,2.8,0.0,1.3,0.0,0.4,87.5
Jonathan Mingo CAR,34.5,404.8,2.0,0.0,3.0,0.0,0.1,87.0
Tre Tucker LV,31.6,378.0,2.3,0.0,14.0,0.0,0.2,83.9
Treylon Burks TEN,27.9,370.6,1.8,1.8,18.7,0.1,0.6,76.7
Trey Palmer TB,26.9,322.2,2.0,4.2,20.3,0.1,0.2,73.3
Cedrick Wilson Jr. NO,24.7,308.4,2.6,0.3,2.3,0.0,0.1,71.1
Devontez Walker BAL,25.4,311.2,2.3,0.0,3.5,0.0,0.1,70.5
Parker Washington JAC,27.0,288.4,2.1,0.0,6.0,0.0,0.0,69.3
Van Jefferson PIT,24.1,327.0,1.9,0.0,4.0,0.0,0.1,68.3
Nelson Agholor BAL,24.3,306.2,2.2,0.0,2.0,0.0,0.2,68.2
Alec Pierce IND,22.6,341.4,1.9,0.0,1.3,0.0,0.0,68.2
Cedric Tillman CLE,24.7,313.3,2.0,0.0,1.7,0.0,0.2,67.6
Javon Baker NE,25.3,302.7,1.6,0.0,7.3,0.0,0.1,65.7
KaVontae Turpin DAL,18.7,220.3,2.7,8.7,66.9,0.4,0.4,65.0
