Player,REC,REC_YDS,REC_TDS,FL,FPTS,POS
Teagan Quitoriano HOU,6.5,100.6,1.1,0.0,23.1,TE
Quintin Morris BUF,7.0,74.8,1.1,0.0,20.8,TE
James Mitchell DET,8.0,83.3,0.7,0.0,20.4,TE
MyCole Pruitt PIT,6.2,67.2,1.1,0.0,19.8,TE
Miller Forristall LAR,7.5,78.5,0.6,0.0,19.2,TE
Harrison Bryant LV,7.7,76.5,0.6,0.0,19.1,TE
Ben Sims GB,6.5,56.5,1.1,0.0,18.7,TE
Grant Calcaterra PHI,7.3,74.4,0.6,0.0,18.3,TE
Ross Dwelley ATL,6.0,83.7,0.7,0.0,18.3,TE
Luke Farrell JAC,7.4,75.0,0.6,0.0,18.2,TE
John Bates WAS,8.1,77.0,0.4,0.0,18.2,TE
Armani Rogers PHI,6.5,76.6,0.6,0.0,17.6,TE
Nick Vannett TEN,6.3,69.9,0.6,0.0,16.8,TE
Cole Turner WAS,6.0,68.9,0.6,0.0,16.4,TE
Lawrence Cager NYG,7.6,66.3,0.4,0.0,16.3,TE
Charlie Woerner ATL,8.1,62.7,0.3,0.0,16.3,TE
Albert Okwuegbunam Jr. PHI,6.4,62.5,0.6,0.0,16.2,TE
Josiah Deguara JAC,7.1,60.9,0.4,0.0,15.7,TE
Cole Fotheringham LV,5.9,57.4,0.6,0.0,15.1,TE
Ko Kieft TB,5.6,56.5,0.5,0.1,13.9,TE
Charlie Kolar BAL,5.4,58.9,0.4,0.0,13.7,TE
Eric Saubert SF,7.0,47.0,0.0,0.0,11.7,TE
John Stephens Jr. DAL,4.0,41.0,0.3,0.0,10.1,TE
Kenny Yeboah NYJ,3.8,37.0,0.3,0.0,9.2,TE
Mitchell Wilcox NE,3.4,24.3,0.0,0.0,6.0,TE
Dalton Keene HOU,2.0,21.2,0.2,0.0,5.2,TE
Tre' McKitty BUF,2.1,20.4,0.2,0.0,5.1,TE
Jody Fortson Jr. MIA,2.1,19.7,0.2,0.0,5.1,TE
Tyler Davis GB,2.0,19.9,0.2,0.0,5.1,TE
Shane Zylstra DET,2.0,20.0,0.2,0.0,5.0,TE
Julian Hill MIA,2.1,19.2,0.2,0.0,5.0,TE
Tommy Hudson NO,2.0,19.6,0.2,0.0,5.0,TE
Brady Russell SEA,2.0,19.0,0.2,0.0,4.9,TE
Hunter Long LAR,1.9,19.6,0.2,0.0,4.8,TE
Zack Kuntz NYJ,1.9,18.2,0.2,0.0,4.7,TE
Eric Tomlinson IND,1.8,17.7,0.2,0.0,4.6,TE
Zach Gentry LV,1.7,15.9,0.2,0.0,4.4,TE
Nate Adkins DEN,1.7,15.8,0.2,0.0,4.3,TE
Rodney Williams PIT,1.7,15.8,0.2,0.0,4.3,TE
Chris Manhertz NYG,1.9,16.8,0.1,0.0,4.3,TE
Anthony Firkser NYJ,0.2,2.2,0.0,0.0,0.5,TE
