Player,POS,ATT,CMP,PASS_YDS,PASS_TDS,INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,FG,FGA,XPT,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Case Keenum HOU,QB,72.2,44.7,339.2,2.3,1.4,5.9,13.5,0.1,0.3,22.5,,,,,,,,,,,,,,
Hendon Hooker DET,QB,68.1,44.1,325.6,1.9,1.4,6.1,25.7,0.2,0.3,22.4,,,,,,,,,,,,,,
Mitchell Trubisky BUF,QB,45.8,30.4,274.5,2.0,1.3,8.1,26.7,0.3,0.2,22.0,,,,,,,,,,,,,,
Sean Clifford GB,QB,51.1,32.3,310.8,2.2,1.2,6.5,17.7,0.1,0.3,21.5,,,,,,,,,,,,,,
Jimmy Garoppolo LAR,QB,46.9,30.5,317.6,2.1,1.0,3.8,10.6,0.0,0.1,21.3,,,,,,,,,,,,,,
Mason Rudolph TEN,QB,57.0,34.7,330.3,1.9,1.3,5.3,13.6,0.1,0.3,20.6,,,,,,,,,,,,,,
Joshua Dobbs SF,QB,40.6,26.9,266.9,1.8,0.9,6.0,27.8,0.2,0.2,20.4,,,,,,,,,,,,,,
Carson Wentz KC,QB,44.7,27.9,278.0,2.1,0.7,3.8,15.5,0.1,0.2,20.3,,,,,,,,,,,,,,
Tyson Bagent CHI,QB,46.2,29.7,291.2,1.7,1.2,5.2,24.5,0.1,0.2,20.1,,,,,,,,,,,,,,
Cooper Rush DAL,QB,48.2,30.6,298.9,2.0,1.3,5.7,11.0,0.1,0.2,19.7,,,,,,,,,,,,,,
Tyrod Taylor NYJ,QB,43.5,27.5,269.9,1.9,0.9,5.5,23.5,0.0,0.2,19.5,,,,,,,,,,,,,,
Joe Flacco IND,QB,48.8,30.6,317.2,1.8,1.1,5.0,13.3,0.0,0.5,19.4,,,,,,,,,,,,,,
Mac Jones JAC,QB,47.0,31.6,290.8,1.6,0.9,5.4,18.9,0.0,0.1,19.1,,,,,,,,,,,,,,
Marcus Mariota WAS,QB,42.9,26.7,272.5,1.5,1.2,6.8,30.2,0.1,0.2,19.0,,,,,,,,,,,,,,
Easton Stick LAC,QB,43.2,26.5,263.6,1.7,0.9,6.1,24.4,0.1,0.2,18.9,,,,,,,,,,,,,,
Kenny Pickett PHI,QB,43.8,28.5,283.4,1.6,1.2,7.1,21.5,0.2,0.5,18.9,,,,,,,,,,,,,,
